ALBUM_ID,ALBUM_NAME,ALBUM_RELEASE_DATE,ALBUM_COVER
1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2023-05-26,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0
7v7pe5vZQPWB5zW0JrKRiw,folklore (deluxe version),2020-08-17,https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,2006-10-24,https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c
6S6JQWzUrJVcJLK4fi74Fw,Speak Now (Deluxe Package),2010-01-01,https://i.scdn.co/image/ab67616d0000b273e1bc852a04501952c765d5cd
2KLFL8R9r2ubCQxbBxgLT7,The More Lover Chapter,2019-08-23,https://i.scdn.co/image/ab67616d0000b273b40f953d9ebdc956544e28a5
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
5LyzI39gkePgpHz38bEQIr,Lavender Haze (Remixes),2023-03-03,https://i.scdn.co/image/ab67616d0000b273f7c84273e5c8ecb7594b4357
34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,https://i.scdn.co/image/ab67616d0000b273332d85510aba3eb28312cfb2
5xd9LleY1wqsgKVTwLoXYI,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),2021-03-26,https://i.scdn.co/image/ab67616d0000b273b7afb31fe699dae7c34eea1b
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de
43OpbkiiIxJO8ktIB777Nn,Fearless Platinum Edition,2008-11-11,https://i.scdn.co/image/ab67616d0000b27334e5885465afc8a497ac1b7e
5lIglDJlPaEoqVl2hhi3O0,Christmas Tree Farm (Recorded Live at the 2019 iHeartRadio Jingle Ball),2020-12-19,https://i.scdn.co/image/ab67616d0000b273052249de01e68c82c8cf0858
7qqYU64i563QXANa6vpkSr,Look What You Made Me Do,2017-08-24,https://i.scdn.co/image/ab67616d0000b273e3953b884e6b0bd31933d4e0
5EpMjweRD573ASl7uNiHym,Speak Now (Deluxe Edition),2010-10-25,https://i.scdn.co/image/ab67616d0000b2732e4ec3175d848eca7b76b07f
20wq0dFrgEhhulGXqnb4A6,Anti-Hero (ILLENIUM Remix),2022-11-18,https://i.scdn.co/image/ab67616d0000b273eb7289d463cd524a93b722c9
6MMVrrxnNgGKg04ze1Pemw,The More Fearless (Taylor’s Version) Chapter,2021-04-09,https://i.scdn.co/image/ab67616d0000b2734beb2774135270cedfa28338
1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949
7FfuPFdOrRN44WZQQxj75M,Safe & Sound (from The Hunger Games Soundtrack),2011-01-01,https://i.scdn.co/image/ab67616d0000b273c94ac562e3fb5107ab766370
5C41iVpK8HXCe3qlLL3I38,willow (90's trend remix),2021-06-14,https://i.scdn.co/image/ab67616d0000b27348ea2c0fbc6682c6d10d91aa
2apcAEM6coXOMnHitrpRDk,Daylight (Live From Paris),2020-05-17,https://i.scdn.co/image/ab67616d0000b2739638abe9135aed2817baf686
1Tv3rrFNdXGtTeP1plX2xE,Bad Blood,2015-05-17,https://i.scdn.co/image/ab67616d0000b2737941dc6a3a023016acbe3d06
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
5FerdPFXSHSnCVq4OBy4Ey,Red,2012-10-22,https://i.scdn.co/image/ab67616d0000b2737d2f918a1b23f98ceb7510fa
3f6e4wXxxi4ahqWsSU7OpT,THE TORTURED POETS DEPARTMENT,2024-04-18,https://i.scdn.co/image/ab67616d0000b27308c74a3a99b01a6d3933b169
6mhqCOSN7y93aydjeBatWb,Fearless (Platinum Edition),2008-11-11,https://i.scdn.co/image/ab67616d0000b27323772ebfb18de81c57186964
08CWGiv27MVQhYpuTtvx83,Fearless (International Version),2008-11-11,https://i.scdn.co/image/ab67616d0000b273516c279fe91ae3f6a79b23da
2O1NYIBQCUobrL97A2Unk8,All Too Well (10 Minute Version) (The Short Film),2022-06-11,https://i.scdn.co/image/ab67616d0000b2738e16c6e20dbed531a9006d58
6EsTJnpahwW6xX20zvqQgZ,1989 (Big Machine Radio Release Special),2014-10-27,https://i.scdn.co/image/ab67616d0000b2730432bfd9e6adb616fd8bcc97
5vgWXUueeEU2labRz6TlNv,Anti-Hero (Acoustic Version),2022-11-25,https://i.scdn.co/image/ab67616d0000b2730fc559ebbed8b0b100ad206c
47JSuowYYz5j8w2AM6N8w6,Gorgeous,2017-10-20,https://i.scdn.co/image/ab67616d0000b2730ee25608d7ab9bed0bd16f1b
4894htPwC6zoiuTqUQwn4I,Midnights (3am Edition),2022-10-21,https://i.scdn.co/image/ab67616d0000b2734a97c76d7b4f6530f439c249
0bEySlRAkuPxV9KVWhXXBr,Taylor Swift Karaoke: 1989 (Deluxe),2015-02-01,https://i.scdn.co/image/ab67616d0000b273b98fc11a07f752803fbebea4
1CYlmaXajTC59VJWSSeE7Y,Fearless (Karaoke Version),2008-11-11,https://i.scdn.co/image/ab67616d0000b2733aaff042743bac0fdec793fc
6l7iXnb2Y4yDR9zag3kckA,The Man (Live From Paris),2020-02-18,https://i.scdn.co/image/ab67616d0000b2739a6d517fc78fb707bed067c2
5f4rbgZJhYp4hgswKri00b,Christmas Tree Farm (Old Timey Version),2021-11-22,https://i.scdn.co/image/ab67616d0000b2738538f5677d3ffe87257ac6c2
3x4gaf5IPyFQNrxZY07CXA,Love Story (Taylor's Version) [Elvira Remix],2021-03-23,https://i.scdn.co/image/ab67616d0000b273f2d3584898505ffee9cacfde
3OjtXmDVcfHAjJOS3xBoYU,Cats: Highlights From The Motion Picture Soundtrack,2019-12-20,https://i.scdn.co/image/ab67616d0000b27370d80ce758278c0ac3a63d9e
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
4eZKjfeKPSwd6NYsmlKjuR,Safe & Sound (Taylor's Version),2021-11-12,https://i.scdn.co/image/ab67616d0000b2734f719ea76d1b7048664b8fec
11e4xCXllbvk8pWc1cCas1,Sweeter Than Fiction,2013-10-21,https://i.scdn.co/image/ab67616d0000b273a8d770d373f0bb3f0818526c
3YbMxdapL6mvSQjosFkc0T,How Long Do You Think It's Gonna Last?,2021-08-27,https://i.scdn.co/image/ab67616d0000b273fbab613f887083f7ee11a1de
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
6tgMb6LEwb3yj7BdYy462y,Fearless,2008-11-11,https://i.scdn.co/image/ab67616d0000b2736ff72554305455511e786687
1nqF9ybDGwuGl1rVERp5Q4,The Cruelest Summer,2023-10-19,https://i.scdn.co/image/ab67616d0000b273f669b4e7f0327c92909bc762
3QXlUpSDgakWZK2WqQv0pF,Speak Now (Karaoke Version),2010-10-25,https://i.scdn.co/image/ab67616d0000b27366271168cb30f17767b1f410
12A1Byk8EpqzaHSw12nKyW,The Cruelest Summer,2023-10-19,https://i.scdn.co/image/ab67616d0000b273905c0872bdf4e1787a6bb5da
0vkAczpFKCazPKaoLtnBr0,The Joker And The Queen (feat. Taylor Swift),2022-02-11,https://i.scdn.co/image/ab67616d0000b27389aff4625958eac8d16535c7
1EoDsNmgTLtmwe1BDAVxV5,Red,2012-10-22,https://i.scdn.co/image/ab67616d0000b27396384c98ac4f3e7c2440f5b5
7irmI5g3OLC1gUXlxysOWt,Anti-Hero (Remixes),2022-11-11,https://i.scdn.co/image/ab67616d0000b2739954fa9f0ba8534c3897b59d
3EzFY9Rg0PpbADMth746zi,Fearless (Big Machine Radio Release Special),2008-11-11,https://i.scdn.co/image/ab67616d0000b27360cb9332e8c8c7d8e50854b3
1iab5rfjNpGhoPlFzPyp4k,Love Story (Pop Mix),2020-02-07,https://i.scdn.co/image/ab67616d0000b273d676631cbb331a320db57b64
4kD0pFwhEjEiF9pwUwkpNo,Renegade (feat. Taylor Swift),2021-07-02,https://i.scdn.co/image/ab67616d0000b273b8abc4de41be8b3158a4ef40
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2021-11-12,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d
49yiYOnz2UyaNl72xvDERt,Renegade (Pop Version),2021-08-17,https://i.scdn.co/image/ab67616d0000b273f0b56f34301a37d015cbb678
3kqqalY92DENp7FiztDOjH,cardigan (cabin in candlelight version),2020-07-30,https://i.scdn.co/image/ab67616d0000b27326ade10c17424417bd06f1d6
5sZIjREu3s225wwqJkgsYV,You're Not Sorry (CSI Remix),2020-02-07,https://i.scdn.co/image/ab67616d0000b273e8ae61ef7ff5c29b9f84828f
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
1d8W5sDOh6xY7y6UYp2rcg,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b
79thwyFL6Uo6rgTp3YWEAf,Women In Music Pt III (Expanded Edition),2021-02-19,https://i.scdn.co/image/ab67616d0000b273667f8cfd1be0d0cc2b825e25
