Date,Week,Month,Quarter
10-01-24,40,10,4
10-02-24,40,10,4
10-03-24,40,10,4
10-04-24,41,10,4
10-05-24,41,10,4
10-06-24,41,10,4
10-07-24,41,10,4
10-08-24,41,10,4
10-09-24,41,10,4
10-10-24,41,10,4
10-11-24,42,10,4
10-12-24,42,10,4
10/13/2024,42,10,4
10/14/2024,42,10,4
10/15/2024,42,10,4
10/16/2024,42,10,4
10/17/2024,42,10,4
10/18/2024,43,10,4
10/19/2024,43,10,4
10/20/2024,43,10,4
10/21/2024,43,10,4
10/22/2024,43,10,4
10/23/2024,43,10,4
10/24/2024,43,10,4
10/25/2024,44,10,4
10/26/2024,44,10,4
10/27/2024,44,10,4
10/28/2024,44,10,4
10/29/2024,44,10,4
10/30/2024,44,10,4
10/31/2024,44,10,4
11-01-24,45,11,4
11-02-24,45,11,4
11-03-24,45,11,4
11-04-24,45,11,4
11-05-24,45,11,4
11-06-24,45,11,4
11-07-24,45,11,4
11-08-24,46,11,4
11-09-24,46,11,4
11-10-24,46,11,4
11-11-24,46,11,4
11-12-24,46,11,4
11/13/2024,46,11,4
11/14/2024,46,11,4
11/15/2024,47,11,4
11/16/2024,47,11,4
11/17/2024,47,11,4
11/18/2024,47,11,4
11/19/2024,47,11,4
11/20/2024,47,11,4
11/21/2024,47,11,4
11/22/2024,48,11,4
11/23/2024,48,11,4
11/24/2024,48,11,4
11/25/2024,48,11,4
11/26/2024,48,11,4
11/27/2024,48,11,4
11/28/2024,48,11,4
11/29/2024,49,11,4
11/30/2024,49,11,4
12-01-24,49,12,4
12-02-24,49,12,4
12-03-24,49,12,4
12-04-24,49,12,4
12-05-24,49,12,4
12-06-24,50,12,4
12-07-24,50,12,4
12-08-24,50,12,4
12-09-24,50,12,4
12-10-24,50,12,4
12-11-24,50,12,4
12-12-24,50,12,4
12/13/2024,51,12,4
12/14/2024,51,12,4
12/15/2024,51,12,4
12/16/2024,51,12,4
12/17/2024,51,12,4
12/18/2024,51,12,4
12/19/2024,51,12,4
12/20/2024,52,12,4
12/21/2024,52,12,4
12/22/2024,52,12,4
12/23/2024,52,12,4
12/24/2024,52,12,4
12/25/2024,52,12,4
12/26/2024,52,12,4
12/27/2024,53,12,4
12/28/2024,53,12,4
12/29/2024,53,12,4
12/30/2024,53,12,4
12/31/2024,53,12,4
